date,service_type,region,provider,cpu_hours,storage_gb,data_transfer_gb,cost_usd,team
1/1/2024,Networking,eastus,Azure,1.5416,9.8138,11.9013,2.0098,Data
1/1/2024,Networking,eastus,Azure,1.7536,12.1936,43.8484,4.5575,QA
1/1/2024,VM,westeurope,AWS,12.6662,44.2402,8.3419,3.0596,Engineering
1/1/2024,Database,westeurope,AWS,5.948,202.8538,5.997,2.4443,Engineering
1/1/2024,VM,eastus,AWS,15.3907,52.7984,7.0725,2.3713,DevOps
1/2/2024,VM,westeurope,AWS,8.5237,55.5385,8.4113,1.93,Engineering
1/2/2024,VM,eastus,AWS,14.3211,45.9639,4.768,3.0085,Engineering
1/2/2024,VM,southeastasia,AWS,9.3582,44.9231,9.468,1.8496,QA
1/2/2024,Networking,westeurope,Azure,1.8964,9.0648,16.4266,2.2353,DevOps
1/2/2024,VM,eastus,Azure,15.2989,49.4599,10.4085,2.508,Data
1/2/2024,Networking,westeurope,Azure,3.6861,8.6194,26.4123,3.3304,DevOps
1/3/2024,Database,eastus,Azure,5.9087,208.9295,3.4578,2.6046,DevOps
1/3/2024,VM,southeastasia,Azure,12.8792,56.7247,6.5352,2.8912,DevOps
1/3/2024,VM,eastus,Azure,11.0515,47.5428,5.9322,3.8679,Engineering
1/3/2024,VM,westeurope,AWS,9.3891,46.2002,4.8561,3.1542,Engineering
1/3/2024,VM,eastus,AWS,20.831,34.313,11.033,2.6814,Engineering
1/4/2024,Database,eastus,AWS,6.0903,273.8973,4.7115,1.7886,Engineering
1/4/2024,Storage,southeastasia,AWS,0.5377,706.9597,2.4639,3.1101,DevOps
1/4/2024,VM,westeurope,Azure,9.0284,45.7528,8.2392,3.4039,Data
1/4/2024,VM,westeurope,AWS,10.4896,54.0225,5.8047,2.5342,Data
1/5/2024,Networking,westeurope,Azure,2.9362,10.5946,24.3695,5.2977,Engineering
1/5/2024,Storage,eastus,Azure,0.4347,920.0583,2.0915,1.8862,QA
1/5/2024,VM,westeurope,Azure,14.762,48.2996,9.5673,3.5584,QA
1/5/2024,VM,southeastasia,Azure,15.3081,48.9276,3.357,2.6955,Engineering
1/6/2024,VM,westeurope,AWS,9.5099,59.5129,5.0188,2.8746,Engineering
1/6/2024,VM,eastus,AWS,10.0216,49.4217,4.8188,3.6827,Engineering
1/6/2024,Storage,westeurope,AWS,0.1242,795.8564,0.4222,1.2149,Data
1/7/2024,VM,southeastasia,AWS,10.1315,52.4542,5.2158,3.8786,Engineering
1/7/2024,VM,westeurope,Azure,6.5476,46.4356,2.5375,2.2915,QA
1/7/2024,VM,eastus,Azure,4.7594,41.3921,7.335,2.0558,QA
1/8/2024,Database,westeurope,Azure,3.9335,171.8652,5.7726,3.5078,DevOps
1/8/2024,Database,westeurope,AWS,6.7707,239.9264,6.4823,3.5818,DevOps
1/8/2024,Database,eastus,AWS,5.272,202.4562,8.472,2.3871,Engineering
1/8/2024,Storage,eastus,AWS,0.2666,692.8256,1.7991,2.5115,DevOps
1/9/2024,VM,southeastasia,AWS,10.8764,40.3159,6.1628,1.9395,DevOps
1/9/2024,Database,westeurope,AWS,6.6335,247.7895,4.3491,2.0269,Engineering
1/9/2024,VM,eastus,AWS,7.3535,47.4265,8.4413,2.9408,DevOps
1/10/2024,Storage,westeurope,AWS,0.5722,952.0293,1.5754,1.4351,Engineering
1/10/2024,VM,eastus,AWS,11.2878,64.04,7.9533,2.9904,QA
1/10/2024,VM,eastus,AWS,9.2022,46.6997,8.3138,2.6623,Data
1/10/2024,Storage,westeurope,Azure,0.4747,807.3076,2.3883,2.7954,DevOps
1/10/2024,VM,westeurope,AWS,12.3783,48.8616,9.412,4.3817,Data
1/10/2024,Database,eastus,AWS,5.2704,206.2279,6.3275,1.5387,Engineering
1/11/2024,VM,eastus,Azure,10.6064,53.3649,7.811,3.1229,Engineering
1/11/2024,Storage,westeurope,Azure,0.454,734.2732,2.6262,2.7258,DevOps
1/11/2024,VM,westeurope,Azure,12.6869,54.7464,2.59,2.6254,Engineering
1/11/2024,VM,eastus,AWS,13.1761,49.0661,7.5195,3.0794,Engineering
1/12/2024,Storage,eastus,AWS,0.7531,892.4814,2.4002,3.4105,DevOps
1/12/2024,VM,eastus,AWS,14.9254,48.8971,6.0188,2.1531,Data
1/12/2024,Networking,westeurope,AWS,1.8393,9.35,31.8344,5.5152,Engineering
1/12/2024,Networking,eastus,AWS,1.276,7.8888,23.534,4.6282,QA
1/12/2024,Storage,eastus,Azure,0.4733,763.7211,1.9973,2.4596,Engineering
1/12/2024,VM,eastus,AWS,13.558,61.4955,7.739,2.6087,Data
1/13/2024,Storage,eastus,Azure,0.3502,572.3903,1.3595,1.1865,QA
1/13/2024,Database,southeastasia,AWS,2.5473,170.9867,4.6551,3.4605,DevOps
1/13/2024,Database,eastus,AWS,2.5475,170.3831,1.7633,2.5287,Engineering
